IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.146.204,2083,2083,true,HKG,Asia Pacific,Hong Kong,87,4.61
8.222.224.162,2083,2083,true,SIN,Asia Pacific,Singapore,76,4.61
47.74.26.132,80,80,false,NRT,Asia Pacific,Tokyo,76,4.61
47.236.87.246,2095,2095,false,SIN,Asia Pacific,Singapore,49,4.60
47.242.171.94,8443,8443,true,HKG,Asia Pacific,Hong Kong,101,4.60
8.222.224.17,443,443,true,SIN,Asia Pacific,Singapore,85,4.60
8.209.242.25,2087,2087,true,NRT,Asia Pacific,Tokyo,120,4.60
47.236.116.26,2096,2096,true,SIN,Asia Pacific,Singapore,83,4.59
8.218.18.132,2083,2083,true,HKG,Asia Pacific,Hong Kong,95,4.59
47.245.39.28,2083,2083,true,NRT,Asia Pacific,Tokyo,142,4.59
47.91.10.228,2096,2096,true,NRT,Asia Pacific,Tokyo,130,4.59
47.242.54.157,2082,2082,false,HKG,Asia Pacific,Hong Kong,44,4.58
8.219.175.127,8080,8080,false,SIN,Asia Pacific,Singapore,8,4.58
47.74.5.150,80,80,false,NRT,Asia Pacific,Tokyo,78,4.58
47.236.7.206,8080,8080,false,SIN,Asia Pacific,Singapore,35,4.58
8.219.97.179,8880,8880,false,SIN,Asia Pacific,Singapore,5,4.58
8.218.85.128,2082,2082,false,HKG,Asia Pacific,Hong Kong,34,4.58
8.210.119.11,2082,2082,false,HKG,Asia Pacific,Hong Kong,45,4.58
47.245.118.70,8880,8880,false,SIN,Asia Pacific,Singapore,7,4.58
8.219.40.255,2053,2053,true,SIN,Asia Pacific,Singapore,18,4.57
47.91.14.47,8080,8080,false,NRT,Asia Pacific,Tokyo,90,4.57
8.219.151.193,2086,2086,false,SIN,Asia Pacific,Singapore,15,4.57
8.209.215.247,8080,8080,false,NRT,Asia Pacific,Tokyo,85,4.57
8.218.2.181,8880,8880,false,HKG,Asia Pacific,Hong Kong,57,4.57
47.236.19.51,2082,2082,false,SIN,Asia Pacific,Singapore,10,4.57
47.74.23.99,2095,2095,false,NRT,Asia Pacific,Tokyo,79,4.57
8.222.167.147,2095,2095,false,SIN,Asia Pacific,Singapore,7,4.56
47.74.21.61,2095,2095,false,NRT,Asia Pacific,Tokyo,87,4.56
47.74.11.101,2083,2083,true,NRT,Asia Pacific,Tokyo,183,4.56
