IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.245.230.140,80,0,false,ORD,North America,Chicago,311,0.00
13.246.35.172,80,0,false,ORD,North America,Chicago,311,0.00
13.246.240.4,2086,0,false,ORD,North America,Chicago,307,0.00
13.244.64.177,8443,0,false,ORD,North America,Chicago,311,0.00
13.246.221.196,2083,0,false,ORD,North America,Chicago,313,0.00
13.246.201.148,80,0,false,ORD,North America,Chicago,311,0.00
13.57.56.228,2096,0,false,ORD,North America,Chicago,173,0.00
13.245.234.225,2053,0,false,ORD,North America,Chicago,310,0.00
13.244.104.215,2096,0,false,ORD,North America,Chicago,315,0.00
13.245.28.205,2083,0,false,ORD,North America,Chicago,312,0.00
13.246.43.244,2086,0,false,ORD,North America,Chicago,314,0.00
13.247.58.210,8443,0,false,ORD,North America,Chicago,314,0.00
13.246.43.244,2053,0,false,ORD,North America,Chicago,311,0.00
13.244.64.154,2083,0,false,ORD,North America,Chicago,310,0.00
13.246.43.244,8080,0,false,ORD,North America,Chicago,309,0.00
13.244.87.140,2083,0,false,ORD,North America,Chicago,311,0.00
13.246.35.172,8880,0,false,ORD,North America,Chicago,309,0.00
13.246.44.45,2083,0,false,ORD,North America,Chicago,311,0.00
13.247.67.227,2086,0,false,ORD,North America,Chicago,312,0.00
13.244.87.140,2086,0,false,ORD,North America,Chicago,307,0.00
13.244.104.215,2083,0,false,ORD,North America,Chicago,306,0.00
13.247.99.207,2083,0,false,ORD,North America,Chicago,314,0.00
13.245.29.119,8080,0,false,ORD,North America,Chicago,307,0.00
13.246.12.53,2095,0,false,ORD,North America,Chicago,309,0.00
13.246.43.62,8080,0,false,ORD,North America,Chicago,311,0.00
13.244.87.140,8443,0,false,ORD,North America,Chicago,305,0.00
13.244.112.199,2082,0,false,ORD,North America,Chicago,314,0.00
13.246.198.8,80,0,false,ORD,North America,Chicago,305,0.00
13.245.28.205,443,0,false,ORD,North America,Chicago,315,0.00
13.247.65.127,8080,0,false,ORD,North America,Chicago,309,0.00
13.247.58.210,2086,0,false,ORD,North America,Chicago,313,0.00
13.244.98.139,2095,0,false,ORD,North America,Chicago,317,0.00
13.245.29.119,8443,0,false,ORD,North America,Chicago,314,0.00
13.247.14.165,80,0,false,ORD,North America,Chicago,309,0.00
13.244.119.157,2096,0,false,ORD,North America,Chicago,313,0.00
13.246.38.255,2083,0,false,ORD,North America,Chicago,315,0.00
13.246.201.181,2096,0,false,ORD,North America,Chicago,305,0.00
13.246.227.99,2052,0,false,ORD,North America,Chicago,312,0.00
13.247.67.227,2087,0,false,ORD,North America,Chicago,309,0.00
13.246.3.89,8080,0,false,ORD,North America,Chicago,309,0.00
13.245.234.225,2082,0,false,ORD,North America,Chicago,315,0.00
13.246.12.53,2052,0,false,ORD,North America,Chicago,313,0.00
13.246.43.244,2082,0,false,ORD,North America,Chicago,308,0.00
13.247.67.27,2096,0,false,ORD,North America,Chicago,312,0.00
13.246.221.157,8443,0,false,ORD,North America,Chicago,314,0.00
13.246.221.157,2087,0,false,ORD,North America,Chicago,305,0.00
13.246.3.89,8443,0,false,ORD,North America,Chicago,315,0.00
13.245.234.225,2083,0,false,ORD,North America,Chicago,306,0.00
13.244.119.157,2082,0,false,ORD,North America,Chicago,309,0.00
13.246.221.157,80,0,false,ORD,North America,Chicago,313,0.00
13.245.29.119,2086,0,false,ORD,North America,Chicago,311,0.00
13.245.230.140,443,0,false,ORD,North America,Chicago,317,0.00
13.244.64.177,8080,0,false,ORD,North America,Chicago,314,0.00
13.244.64.177,2052,0,false,ORD,North America,Chicago,318,0.00
13.245.111.60,443,0,false,ORD,North America,Chicago,307,0.00
13.244.64.154,2087,0,false,ORD,North America,Chicago,311,0.00
13.246.201.181,2053,0,false,ORD,North America,Chicago,310,0.00
13.247.65.127,2082,0,false,ORD,North America,Chicago,313,0.00
13.246.221.196,2087,0,false,ORD,North America,Chicago,317,0.00
13.246.44.45,2082,0,false,ORD,North America,Chicago,322,0.00
13.246.198.8,8443,0,false,ORD,North America,Chicago,309,0.00
13.244.64.177,2086,0,false,ORD,North America,Chicago,310,0.00
13.246.221.196,2096,0,false,ORD,North America,Chicago,309,0.00
13.246.221.157,2052,0,false,ORD,North America,Chicago,312,0.00
13.246.201.148,443,0,false,ORD,North America,Chicago,315,0.00
13.244.98.139,8443,0,false,ORD,North America,Chicago,312,0.00
13.247.67.27,2087,0,false,ORD,North America,Chicago,307,0.00
13.245.230.140,8880,0,false,ORD,North America,Chicago,309,0.00
13.244.98.139,2087,0,false,ORD,North America,Chicago,305,0.00
13.244.64.154,2095,0,false,ORD,North America,Chicago,309,0.00
13.245.28.205,8080,0,false,ORD,North America,Chicago,311,0.00
13.245.234.225,2052,0,false,ORD,North America,Chicago,311,0.00
